epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_balanced_acc
1.0,1.48660890092241,0.4521276595744681,1.4827425650187902,0.4642857142857143,0.30989348888397217,0.3995726704597473
2.0,1.4659199283478108,0.4734042553191489,1.4632833344595773,0.42857142857142855,0.2594549357891083,0.3579059839248657
3.0,1.4330558599309717,0.48936170212765956,1.4452553987503052,0.4642857142857143,0.2712365388870239,0.377136766910553
4.0,1.3965356070944603,0.5212765957446809,1.4123828751700265,0.5535714285714286,0.3936067819595337,0.4604700803756714
5.0,1.359249919018847,0.5957446808510638,1.3913265807288033,0.5,0.3746212124824524,0.4177350401878357
6.0,1.3205245479624321,0.601063829787234,1.360658015523638,0.5357142857142857,0.4209175109863281,0.4455128312110901
7.0,1.2702725187261055,0.6170212765957447,1.3468116692134313,0.5,0.4126291871070862,0.4391025900840759
8.0,1.2076664934767054,0.601063829787234,1.3151843547821045,0.5357142857142857,0.45980775356292725,0.4540598392486572
9.0,1.193357358587549,0.6063829787234043,1.2812925236565726,0.625,0.5054421424865723,0.5192307829856873
10.0,1.125384340894983,0.648936170212766,1.2633722850254603,0.5892857142857143,0.5052308440208435,0.5181624293327332
11.0,1.1370342285075086,0.5904255319148937,1.3130459785461426,0.44642857142857145,0.43419912457466125,0.4326923191547394
12.0,1.1036552266871675,0.5531914893617021,1.276959913117545,0.5535714285714286,0.5066526532173157,0.4989316463470459
13.0,1.0645083645556837,0.6223404255319149,1.2932934761047363,0.42857142857142855,0.3845943212509155,0.4316239356994629
14.0,1.0579161136708362,0.6382978723404256,1.2729095561163766,0.625,0.5285443663597107,0.5331196784973145
15.0,1.0009489211630314,0.6861702127659575,1.2565628971372331,0.5178571428571429,0.4558025002479553,0.4839743971824646
16.0,1.0241359066455922,0.7127659574468085,1.2685402631759644,0.5892857142857143,0.5024399757385254,0.49572649598121643
17.0,0.9981344938278198,0.7712765957446809,1.2739840405327933,0.5714285714285714,0.4716859459877014,0.504273533821106
18.0,0.96671561738278,0.7606382978723404,1.3967359576906477,0.4642857142857143,0.36134931445121765,0.3600427508354187
19.0,0.9234215109906299,0.8191489361702128,1.258719835962568,0.6071428571428571,0.5121225118637085,0.5363247990608215
20.0,0.9104310477033575,0.8031914893617021,1.2819778748920985,0.6428571428571429,0.5238844752311707,0.5373932123184204
21.0,0.8766083615891477,0.851063829787234,1.3601574897766113,0.5714285714285714,0.4581793546676636,0.462606817483902
22.0,0.8154003100192293,0.8563829787234043,1.3524860484259469,0.5178571428571429,0.4523809850215912,0.4391025900840759
23.0,0.8240556488645837,0.8723404255319149,1.4017671346664429,0.5535714285714286,0.46041667461395264,0.45299142599105835
24.0,0.8012712952938486,0.898936170212766,1.347367865698678,0.6785714285714286,0.5144385099411011,0.507478654384613
25.0,0.7641182655983783,0.8936170212765957,1.3534114531108312,0.5357142857142857,0.4544872045516968,0.4572649598121643
26.0,0.7128844895261399,0.9361702127659575,1.3538872684751238,0.6428571428571429,0.4859943985939026,0.5064102411270142
27.0,0.7235190259649399,0.9308510638297872,1.3768117257526942,0.6071428571428571,0.4806548058986664,0.48183760046958923
28.0,0.6825123188343454,0.9308510638297872,1.4090768780027116,0.6428571428571429,0.4977326989173889,0.4882478713989258
29.0,0.7394464929053124,0.9521276595744681,1.4309959752219064,0.6607142857142857,0.5241667032241821,0.5106837749481201
30.0,0.672250785726182,0.9414893617021277,1.4177746432168143,0.6785714285714286,0.5290403962135315,0.5117521286010742
31.0,0.6369306001257389,0.9893617021276596,1.3909661258969988,0.625,0.4673423767089844,0.46474358439445496
32.0,0.6531754478495172,0.973404255319149,1.3694354806627547,0.6071428571428571,0.46775251626968384,0.4594017267227173
33.0,0.6210200089089414,0.973404255319149,1.3363487379891532,0.6964285714285714,0.5382196307182312,0.5299144983291626
34.0,0.6229004301923386,0.9680851063829787,1.359347871371678,0.7142857142857143,0.5458663105964661,0.5534188151359558
35.0,0.6169173869680851,0.9840425531914894,1.381656459399632,0.625,0.5019257068634033,0.4829059839248657
36.0,0.6064038695173061,0.9946808510638298,1.3697373696735926,0.6607142857142857,0.4982702434062958,0.4882478713989258
37.0,0.5953337055571536,0.9893617021276596,1.3806638036455428,0.6428571428571429,0.4956439733505249,0.4882478713989258
38.0,0.5993661842447646,0.9893617021276596,1.3035299948283605,0.7142857142857143,0.5441595315933228,0.5395299196243286
39.0,0.5886031680918754,0.9893617021276596,1.3865279470171248,0.7142857142857143,0.5372369289398193,0.5395299196243286
40.0,0.5933930201733366,0.9840425531914894,1.3490327426365443,0.6964285714285714,0.5199486017227173,0.5256410241127014
41.0,0.5865427521949119,0.9946808510638298,1.329386932509286,0.6428571428571429,0.48173630237579346,0.4743589758872986
42.0,0.5863612459060994,0.9946808510638298,1.2897659540176392,0.7142857142857143,0.5441595315933228,0.5395299196243286
43.0,0.6007531538922736,0.9946808510638298,1.3446164301463537,0.6785714285714286,0.5137438774108887,0.5117521286010742
44.0,0.5757966688338746,0.9946808510638298,1.3545386110033308,0.6071428571428571,0.46938636898994446,0.45512819290161133
45.0,0.5802931861674532,0.9946808510638298,1.3593449422291346,0.6428571428571429,0.509009063243866,0.49252137541770935
46.0,0.5840332038859104,0.9893617021276596,1.2757316657475062,0.6964285714285714,0.5360624194145203,0.5256410241127014
47.0,0.5856152829971719,0.9946808510638298,1.3026728119168962,0.6785714285714286,0.5197058320045471,0.5160256624221802
48.0,0.5660616793531053,0.9946808510638298,1.322322232382638,0.6428571428571429,0.5017369985580444,0.49252137541770935
49.0,0.5616605903239961,1.0,1.3307339463915144,0.625,0.4895833730697632,0.47863250970840454
50.0,0.5631715211462467,0.9946808510638298,1.2906354836055212,0.6607142857142857,0.5150696635246277,0.502136766910553
51.0,0.5643418469327561,1.0,1.329751764025007,0.6964285714285714,0.5326954126358032,0.5256410241127014
52.0,0.564142700205458,0.9946808510638298,1.352645822933742,0.6607142857142857,0.5087719559669495,0.4978632926940918
53.0,0.5646612124240145,1.0,1.363743441445487,0.625,0.49696972966194153,0.47863250970840454
54.0,0.5502604943640689,1.0,1.3683092934744698,0.6071428571428571,0.4699755012989044,0.4604700803756714
